Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Import-based market experience and firms’ exit from export markets","Journal of International Business Studies","","50","3","10.1057/s41267-018-0193-1","Eliane Choquette","2019","http://link.springer.com/article/10.1057/s41267-018-0193-1","Article"
"Understanding the structural characteristics of a firm’s whole buyer–supplier network and its impact on international business performance","Journal of International Business Studies","","50","3","10.1057/s41267-019-00215-x","Amalesh SharmaV. KumarJun YanSourav Bikash BorahAnirban Adhikary","2019","http://link.springer.com/article/10.1057/s41267-019-00215-x","Article"
"Beyond country image favorability: How brand positioning via country personality stereotypes enhances brand evaluations","Journal of International Business Studies","","50","3","10.1057/s41267-018-0175-3","Peter MagnussonStanford A. WestjohnNancy J. Sirianni","2019","http://link.springer.com/article/10.1057/s41267-018-0175-3","Article"
"Managing formalization to increase global team effectiveness and meaningfulness of work in multinational organizations","Journal of International Business Studies","","","","10.1057/s41267-019-00226-8","Cristina B GibsonPatrick D DunlopJohn L Cordery","2019","http://link.springer.com/article/10.1057/s41267-019-00226-8","Article"
"Correction to: Real options theory in international business","Journal of International Business Studies","","","","10.1057/s41267-019-00227-7","Tailan ChiJing LiLenos G TrigeorgisAndrianos E Tsekrekos","2019","http://link.springer.com/article/10.1057/s41267-019-00227-7","Article"
"Responding to public disclosure of corporate social irresponsibility in host countries: Information control and ownership control","Journal of International Business Studies","","","","10.1057/s41267-019-00224-w","Stephanie Lu WangDan Li","2019","http://link.springer.com/article/10.1057/s41267-019-00224-w","Article"
"Capital structure decisions along the supply chain: Evidence from import competition","Journal of International Business Studies","","","","10.1057/s41267-019-00225-9","Qianqian HuangRyoonhee Kim","2019","http://link.springer.com/article/10.1057/s41267-019-00225-9","Article"
"Ringtone: Exploring the rise and fall of Nokia in mobile phones","Journal of International Business Studies","","50","2","10.1057/s41267-018-0188-y","Juha-Antti Lamberg","2019","http://link.springer.com/article/10.1057/s41267-018-0188-y","Article"
"The international penetration of ibusiness firms: Network effects, liabilities of outsidership and country clout","Journal of International Business Studies","","50","2","10.1057/s41267-018-0176-2","Liang ChenNoman ShaheerJingtao YiSali Li","2019","http://link.springer.com/article/10.1057/s41267-018-0176-2","Article"
"The interplay between HQ legitimation and subsidiary legitimacy judgments in HQ relocation: A social psychological approach","Journal of International Business Studies","","50","2","10.1057/s41267-017-0122-8","Julia BalogunKathryn FahyEero Vaara","2019","http://link.springer.com/article/10.1057/s41267-017-0122-8","Article"
"Unintentional, unavoidable, and beneficial knowledge leakage from the multinational enterprise","Journal of International Business Studies","","50","2","10.1057/s41267-018-0164-6","Andrew InkpenDana MinbaevaEric W K Tsang","2019","http://link.springer.com/article/10.1057/s41267-018-0164-6","Article"
"Walking the walk or talking the talk? Corporate social responsibility decoupling in emerging market multinationals","Journal of International Business Studies","","50","2","10.1057/s41267-018-0171-7","Peter TashmanValentina MaranoTatiana Kostova","2019","http://link.springer.com/article/10.1057/s41267-018-0171-7","Article"
"Adapting and sustaining operations in weak institutional environments: A business ecosystem assessment of a Chinese MNE in Central Africa","Journal of International Business Studies","","50","2","10.1057/s41267-018-0179-z","Ronaldo ParenteKe RongJosé-Mauricio G. GeleilateEverlyne Misati","2019","http://link.springer.com/article/10.1057/s41267-018-0179-z","Article"
"State capitalism and performance persistence of business group-affiliated firms: A comparative study of China and India","Journal of International Business Studies","","50","2","10.1057/s41267-018-0165-5","Helen Wei HuLin CuiPreet S Aulakh","2019","http://link.springer.com/article/10.1057/s41267-018-0165-5","Article"
"Can a firm find the balance between openness and secrecy? Towards a theory of an optimum level of disclosure","Journal of International Business Studies","","50","2","10.1057/s41267-018-0204-2","Farok J Contractor","2019","http://link.springer.com/article/10.1057/s41267-018-0204-2","Article"
"Political party tenure and MNE location choices","Journal of International Business Studies","","","","10.1057/s41267-019-00220-0","Arkangel M CorderoStewart R Miller","2019","http://link.springer.com/article/10.1057/s41267-019-00220-0","Article"
"On the future of international joint venture research","Journal of International Business Studies","","","","10.1057/s41267-019-00212-0","Michael NippaJeffrey J Reuer","2019","http://link.springer.com/article/10.1057/s41267-019-00212-0","Article"
"Real options theory in international business","Journal of International Business Studies","","","","10.1057/s41267-019-00222-y","Tailan ChiJing LiLenos G TrigeorgisAndrianos E Tsekrekos","2019","http://link.springer.com/article/10.1057/s41267-019-00222-y","Article"
"The rise of the digital economy: Rethinking the taxation of multinational enterprises","Journal of International Business Studies","","","","10.1057/s41267-019-00223-x","Antony TingSidney J. Gray","2019","http://link.springer.com/article/10.1057/s41267-019-00223-x","Article"
"Pro-market institutions and global strategy: The pendulum of pro-market reforms and reversals","Journal of International Business Studies","","","","10.1057/s41267-019-00221-z","Alvaro Cuervo-CazurraAjai GaurDeeksha Singh","2019","http://link.springer.com/article/10.1057/s41267-019-00221-z","Article"
"MNE–SME cooperation: An integrative framework","Journal of International Business Studies","","","","10.1057/s41267-019-00214-y","Shameen PrashanthamJulian Birkinshaw","2019","http://link.springer.com/article/10.1057/s41267-019-00214-y","Article"
"The global value chain and internalization theory","Journal of International Business Studies","","","","10.1057/s41267-019-00218-8","Gabriel R G BenitoBent PetersenLawrence S Welch","2019","http://link.springer.com/article/10.1057/s41267-019-00218-8","Article"
"Escape from the USA: Government debt-to-GDP ratio, country tax competitiveness, and US-OECD cross-border M&As","Journal of International Business Studies","","","","10.1057/s41267-019-00216-w","Ying GanBuhui Qiu","2019","http://link.springer.com/article/10.1057/s41267-019-00216-w","Article"
"Explaining top management turnover in private corporations: The role of cross-country legal institutions and capital market forces","Journal of International Business Studies","","","","10.1057/s41267-019-00217-9","Ugur LelDarius MillerNatalia Reisel","2019","http://link.springer.com/article/10.1057/s41267-019-00217-9","Article"
"The JIBS 2018 Decade Award: Comparing capitalisms: Understanding institutional diversity and its implications for international business","Journal of International Business Studies","","50","1","10.1057/s41267-018-0205-1","Alain Verbeke","2019","http://link.springer.com/article/10.1057/s41267-018-0205-1","Article"
"Theories of the multinational firm","Journal of International Business Studies","","50","1","10.1057/s41267-018-0180-6","Peter Buckley","2019","http://link.springer.com/article/10.1057/s41267-018-0180-6","Article"
"Correction to: Does organizational formalization facilitate voice and helping organizational citizenship behaviors? It depends on (national) uncertainty norms","Journal of International Business Studies","","50","1","10.1057/s41267-018-0174-4","Ronald FischerMaria Cristina FerreiraNathalie Van MeursKubilay GokDing-Yu JiangJohnny R J FontaineCharles HarbJan CieciuchMustapha AchouiMa Socorro D MendozaArif HassanDonna AchmadiAndrew A MogajiAmina Abubakar","2019","http://link.springer.com/article/10.1057/s41267-018-0174-4","Article"
"Adjusting to and learning from institutional diversity: Toward a capability-building perspective","Journal of International Business Studies","","50","1","10.1057/s41267-018-0198-9","Sarianna M. LundanJiatao Li","2019","http://link.springer.com/article/10.1057/s41267-018-0198-9","Article"
"Host country corruption and the organization of HQ–subsidiary relationships","Journal of International Business Studies","","50","1","10.1057/s41267-018-0169-1","Larissa RabbiosiGrazia D Santangelo","2019","http://link.springer.com/article/10.1057/s41267-018-0169-1","Article"
"Foreign institutional ownership and auditor choice: Evidence from worldwide institutional ownership","Journal of International Business Studies","","50","1","10.1057/s41267-018-0160-x","Jeong-Bon KimMikhail PevznerXiangang Xin","2019","http://link.springer.com/article/10.1057/s41267-018-0160-x","Article"
"Country-level institutions and management earnings forecasts","Journal of International Business Studies","","50","1","10.1057/s41267-018-0190-4","Wenjing LiJeff NgAlbert TsangOktay Urcan","2019","http://link.springer.com/article/10.1057/s41267-018-0190-4","Article"
"Comparing capitalisms and taking institutional context seriously","Journal of International Business Studies","","50","1","10.1057/s41267-018-0206-0","Gregory JacksonRichard Deeg","2019","http://link.springer.com/article/10.1057/s41267-018-0206-0","Article"
"Does organizational formalization facilitate voice and helping organizational citizenship behaviors? It depends on (national) uncertainty norms","Journal of International Business Studies","","50","1","10.1057/s41267-017-0132-6","Ronald FischerMaria Cristina FerreiraNathalie Van MeursKubilay GokDing-Yu JiangJohnny R J FontaineCharles HarbJan CieciuchMustapha AchouiMa Socorro D MendozaArif HassanDonna AchmadiAndrew A MogajiAmina Abubakar","2019","http://link.springer.com/article/10.1057/s41267-017-0132-6","Article"
"The dubious role of institutions in international business: A road forward","Journal of International Business Studies","","50","1","10.1057/s41267-018-0201-5","Ruth V. AguileraBirgitte Grøgaard","2019","http://link.springer.com/article/10.1057/s41267-018-0201-5","Article"
"Brexit negotiations: From negotiation space to agreement zones","Journal of International Business Studies","","50","1","10.1057/s41267-018-0189-x","Ursula F OttPervez N Ghauri","2019","http://link.springer.com/article/10.1057/s41267-018-0189-x","Article"
"When to go it alone: Examining post-conversion performance of international joint ventures","Journal of International Business Studies","","","","10.1057/s41267-018-00211-7","Sea-Jin Chang","2019","http://link.springer.com/article/10.1057/s41267-018-00211-7","Article"
"A missing link in family firms’ internationalization research: Family structures","Journal of International Business Studies","","","","10.1057/s41267-019-00213-z","Jean-Luc ArregleMichael A. HittIsabelle Mari","2019","http://link.springer.com/article/10.1057/s41267-019-00213-z","Article"
"Going home and helping out? Returnees as propagators of CSR in an emerging economy","Journal of International Business Studies","","","","10.1057/s41267-018-00210-8","Qin HanJennifer E JenningsRunjuan LiuP Devereaux Jennings","2019","http://link.springer.com/article/10.1057/s41267-018-00210-8","Article"
"Corporate internationalization, subsidiary locations, and the cost of equity capital","Journal of International Business Studies","","","","10.1057/s41267-018-00207-3","Atanas MihovAndy Naranjo","2019","http://link.springer.com/article/10.1057/s41267-018-00207-3","Article"
"Varieties of capitalism and the internationalization of state-owned enterprises","Journal of International Business Studies","","","","10.1057/s41267-018-00208-2","Sergio MariottiRiccardo Marzano","2019","http://link.springer.com/article/10.1057/s41267-018-00208-2","Article"
"Highly skilled and well connected: Migrant inventors in cross-border M&As","Journal of International Business Studies","","","","10.1057/s41267-018-0203-3","Diego UsecheErnest MiguelezFrancesco Lissoni","2019","http://link.springer.com/article/10.1057/s41267-018-0203-3","Article"
"Who appropriates centrality rents? The role of institutions in regulating social networks in the global Islamic finance industry","Journal of International Business Studies","","","","10.1057/s41267-018-0202-4","Remzi GözübüyükCarl Joachim KockMurat Ünal","2018","http://link.springer.com/article/10.1057/s41267-018-0202-4","Article"
"When a high-quality niche strategy is not enough to spur family-firm internationalization: The role of external and internal contexts","Journal of International Business Studies","","","","10.1057/s41267-018-0199-8","Kimberly A EddlestonRavi SarathyElitsa R Banalieva","2018","http://link.springer.com/article/10.1057/s41267-018-0199-8","Article"
"Multiculturalism within individuals: A review, critique, and agenda for future research","Journal of International Business Studies","","","","10.1057/s41267-018-0191-3","Davina VoraLee MartinStacey R. FitzsimmonsAndre A. PekertiC. LakshmanSalma Raheem","2018","http://link.springer.com/article/10.1057/s41267-018-0191-3","Article"
"List of Guest Editors","Journal of International Business Studies","","49","9","10.1057/s41267-018-0173-5","","2018","http://link.springer.com/article/10.1057/s41267-018-0173-5","Article"
"Author and Keyword Indexes for Volume 49","Journal of International Business Studies","","49","9","10.1057/s41267-018-0196-y","","2018","http://link.springer.com/article/10.1057/s41267-018-0196-y","Article"
"Client profitability of diffusion segments across countries for multi-generational innovations: The influence of firm, market, and cross-national differences","Journal of International Business Studies","","49","9","10.1057/s41267-018-0163-7","Ashish SoodV Kumar","2018","http://link.springer.com/article/10.1057/s41267-018-0163-7","Article"
"Conceptualizing and measuring distance in international business research: Recurring questions and best practice guidelines","Journal of International Business Studies","","49","9","10.1057/s41267-018-0182-4","Sjoerd BeugelsdijkBjörn AmbosPhillip C Nell","2018","http://link.springer.com/article/10.1057/s41267-018-0182-4","Article"
"Individualism and stock price crash risk","Journal of International Business Studies","","49","9","10.1057/s41267-018-0150-z","Zhe AnZhian ChenDonghui LiLu Xing","2018","http://link.springer.com/article/10.1057/s41267-018-0150-z","Article"
"Interpreting societal culture value dimensions","Journal of International Business Studies","","49","9","10.1057/s41267-018-0185-1","Mark F PetersonTais S Barreto","2018","http://link.springer.com/article/10.1057/s41267-018-0185-1","Article"
"The future of international business research on corporate globalization that never was…","Journal of International Business Studies","","49","9","10.1057/s41267-018-0192-2","Alain VerbekeRégis CoeurderoyTanja Matt","2018","http://link.springer.com/article/10.1057/s41267-018-0192-2","Article"
"The Kogut and Singh national cultural distance index: Time to start using it as a springboard rather than a crutch","Journal of International Business Studies","","49","9","10.1057/s41267-018-0183-3","Robbert MaselandDouglas DowPiers Steel","2018","http://link.springer.com/article/10.1057/s41267-018-0183-3","Article"
"The making of a construct: Lessons from 30 years of the Kogut and Singh cultural distance index","Journal of International Business Studies","","49","9","10.1057/s41267-018-0181-5","Ilya R P CuypersGokhan ErtugPursey P M A R HeugensBruce KogutTengjian Zou","2018","http://link.springer.com/article/10.1057/s41267-018-0181-5","Article"
"The tortuous evolution of the role of culture in IB research: What we know, what we don’t know, and where we are headed","Journal of International Business Studies","","49","9","10.1057/s41267-018-0184-2","Rosalie L TungGünter K Stahl","2018","http://link.springer.com/article/10.1057/s41267-018-0184-2","Article"
"Change in domestic network centrality, uncertainty, and the foreign divestment decisions of firms","Journal of International Business Studies","","","","10.1057/s41267-018-0194-0","Viacheslav IurkovGabriel R G Benito","2018","http://link.springer.com/article/10.1057/s41267-018-0194-0","Article"
"The role of foreign institutional investors in restraining earnings management activities across countries","Journal of International Business Studies","","","","10.1057/s41267-018-0195-z","Ugur Lel","2018","http://link.springer.com/article/10.1057/s41267-018-0195-z","Article"
"What lies between market and hierarchy? Insights from internalization theory and global value chain theory","Journal of International Business Studies","","","","10.1057/s41267-018-0186-0","Roger StrangeJohn Humphrey","2018","http://link.springer.com/article/10.1057/s41267-018-0186-0","Article"
"Location strategy in cluster networks","Journal of International Business Studies","","49","8","10.1057/s41267-017-0088-6","Pengfei LiHarald Bathelt","2018","http://link.springer.com/article/10.1057/s41267-017-0088-6","Article"
"Rapid expansion of international new ventures across institutional distance","Journal of International Business Studies","","49","8","10.1057/s41267-017-0108-6","Ziliang DengRuey-Jer “Bryan” JeanRudolf R Sinkovics","2018","http://link.springer.com/article/10.1057/s41267-017-0108-6","Article"
"Traversing cultural boundaries in IB: The complex relationships between explicit country and implicit cultural group boundaries at multiple levels","Journal of International Business Studies","","49","8","10.1057/s41267-017-0082-z","Mark F PetersonMikael SøndergaardAycan Kara","2018","http://link.springer.com/article/10.1057/s41267-017-0082-z","Article"
"Domestic alliance networks and regional strategies of MNEs: A structural embeddedness perspective","Journal of International Business Studies","","49","8","10.1057/s41267-017-0089-5","Viacheslav IurkovGabriel R G Benito","2018","http://link.springer.com/article/10.1057/s41267-017-0089-5","Article"
"Knowledge connectedness within and across home country borders: Spatial heterogeneity and the technological scope of firm innovations","Journal of International Business Studies","","49","8","10.1057/s41267-017-0109-5","Vittoria G. ScaleraAlessandra PerriT. J. Hannigan","2018","http://link.springer.com/article/10.1057/s41267-017-0109-5","Article"
"Zoom in, zoom out: Geographic scale and multinational activity","Journal of International Business Studies","","49","8","10.1057/s41267-018-0158-4","Ram MudambiLee LiXufei MaShige MakinoGongming QianRon Boschma","2018","http://link.springer.com/article/10.1057/s41267-018-0158-4","Article"
"Core or periphery? The effects of country-of-origin agglomerations on the within-country expansion of MNEs","Journal of International Business Studies","","49","8","10.1057/s41267-016-0060-x","Maximilian StallkampBrian C PinkhamAndreas P J SchotterOlha Buchel","2018","http://link.springer.com/article/10.1057/s41267-016-0060-x","Article"
"Impact of historical conflict on FDI location and performance: Japanese investment in China","Journal of International Business Studies","","49","8","10.1057/s41267-016-0048-6","Gerald Yong GaoDanny Tan WangYi Che","2018","http://link.springer.com/article/10.1057/s41267-016-0048-6","Article"
"Angel investors around the world","Journal of International Business Studies","","","","10.1057/s41267-018-0178-0","Douglas CummingMinjie Zhang","2018","http://link.springer.com/article/10.1057/s41267-018-0178-0","Article"
"Inward foreign direct investment and local firm innovation: The moderating role of technological capabilities","Journal of International Business Studies","","","","10.1057/s41267-018-0177-1","Byungchae JinFrancisco GarcíaRobert Salomon","2018","http://link.springer.com/article/10.1057/s41267-018-0177-1","Article"
"Team personal-life inclusion in socially- versus task-oriented countries: A cross-cultural study of Chinese versus German teams","Journal of International Business Studies","","49","7","10.1057/s41267-018-0170-8","Matthias WeissLaura Joan SalmMiriam MuethelMartin Hoegl","2018","http://link.springer.com/article/10.1057/s41267-018-0170-8","Article"
"An institutional logics approach to liability of foreignness: The case of mining MNEs in Sub-Saharan Africa","Journal of International Business Studies","","49","7","10.1057/s41267-017-0111-y","Aloysius Newenham-KahindiCharles E Stevens","2018","http://link.springer.com/article/10.1057/s41267-017-0111-y","Article"
"Limits to international entry mode learning in SMEs","Journal of International Business Studies","","49","7","10.1057/s41267-018-0161-9","Christian SchwensFlorian B ZapkauKeith D BrouthersLina Hollender","2018","http://link.springer.com/article/10.1057/s41267-018-0161-9","Article"
"Dynamics of pro-market institutions and firm performance","Journal of International Business Studies","","49","7","10.1057/s41267-018-0155-7","Elitsa R BanalievaAlvaro Cuervo-CazurraRavi Sarathy","2018","http://link.springer.com/article/10.1057/s41267-018-0155-7","Article"
"Silicon envy: How global innovation clusters hurt or stimulate each other across developed and emerging markets","Journal of International Business Studies","","49","7","10.1057/s41267-018-0162-8","Nukhet HarmanciogluGerard J Tellis","2018","http://link.springer.com/article/10.1057/s41267-018-0162-8","Article"
"Internationalization and performance: Degree, duration, and scale of operations","Journal of International Business Studies","","49","7","10.1057/s41267-018-0146-8","Majid AbdiPreet S. Aulakh","2018","http://link.springer.com/article/10.1057/s41267-018-0146-8","Article"
"Explaining the effect of rapid internationalization on horizontal foreign divestment in the retail sector: An extended Penrosean perspective","Journal of International Business Studies","","49","7","10.1057/s41267-017-0138-0","Alex MohrGeorgios BatsakisZita Stone","2018","http://link.springer.com/article/10.1057/s41267-017-0138-0","Article"
"Foreign actors and intellectual property protection regulations in developing countries","Journal of International Business Studies","","","","10.1057/s41267-018-0172-6","Kristin BrandlIzzet DarendeliRam Mudambi","2018","http://link.springer.com/article/10.1057/s41267-018-0172-6","Article"
"The development of international business: A narrative of theory and practice","Journal of International Business Studies","","49","6","10.1057/s41267-018-0168-2","Mats Forsgren","2018","http://link.springer.com/article/10.1057/s41267-018-0168-2","Article"
"Diplomatic and corporate networks: Bridges to foreign locations","Journal of International Business Studies","","49","6","10.1057/s41267-017-0098-4","Jing LiKlaus E MeyerHua ZhangYuan Ding","2018","http://link.springer.com/article/10.1057/s41267-017-0098-4","Article"
"Internationalization through exaptation: The role of domestic geographical dispersion in the internationalization process","Journal of International Business Studies","","49","6","10.1057/s41267-018-0151-y","Grazia D SantangeloTamara Stucchi","2018","http://link.springer.com/article/10.1057/s41267-018-0151-y","Article"
"Global value chain governance: A relational perspective","Journal of International Business Studies","","49","6","10.1057/s41267-017-0086-8","Liena Kano","2018","http://link.springer.com/article/10.1057/s41267-017-0086-8","Article"
"Social trust in subnational regions and foreign subsidiary performance: Evidence from foreign investments in China","Journal of International Business Studies","","49","6","10.1057/s41267-018-0148-6","Jane Wenzhen LuYuanyang SongMengmeng Shan","2018","http://link.springer.com/article/10.1057/s41267-018-0148-6","Article"
"Internal embeddedness, geographic distance, and global knowledge sourcing by overseas subsidiaries","Journal of International Business Studies","","49","6","10.1057/s41267-017-0112-x","Kazuhiro AsakawaYeonJin ParkJaeyong SongSang-Ji Kim","2018","http://link.springer.com/article/10.1057/s41267-017-0112-x","Article"
"Global connectedness and local innovation in industrial clusters","Journal of International Business Studies","","49","6","10.1057/s41267-018-0153-9","Ekaterina TurkinaAri Van Assche","2018","http://link.springer.com/article/10.1057/s41267-018-0153-9","Article"
"Alliances in international governmental organizations, regional trade agreement formation, and multinational enterprise regionalization strategy","Journal of International Business Studies","","49","6","10.1057/s41267-018-0152-x","Yener KandoganJens Hiller","2018","http://link.springer.com/article/10.1057/s41267-018-0152-x","Article"
"Network centrality and organizational aspirations: A behavioral interaction in the context of international strategic alliances","Journal of International Business Studies","","","","10.1057/s41267-018-0166-4","Elio ShijakuMartin Larraza-KintanaAinhoa Urtasun-Alonso","2018","http://link.springer.com/article/10.1057/s41267-018-0166-4","Article"
"Correction to: The interplay of national distances and regional networks: Private equity investments in emerging markets","Journal of International Business Studies","","49","5","10.1057/s41267-018-0145-9","Santiago MingoFrancisco MoralesLuis Alfonso Dau","2018","http://link.springer.com/article/10.1057/s41267-018-0145-9","Article"
"Does corporate hedging attract foreign institutional investors? Evidence from international firms","Journal of International Business Studies","","49","5","10.1057/s41267-017-0140-6","Massimo MassaLei Zhang","2018","http://link.springer.com/article/10.1057/s41267-017-0140-6","Article"
"Foreign earnings management of US multinational companies: The role of decision rights","Journal of International Business Studies","","49","5","10.1057/s41267-017-0143-3","Jing Huang","2018","http://link.springer.com/article/10.1057/s41267-017-0143-3","Article"
"The impact of climate risk on firm performance and financing choices: An international comparison","Journal of International Business Studies","","49","5","10.1057/s41267-017-0125-5","Henry He HuangJoseph KersteinChong Wang","2018","http://link.springer.com/article/10.1057/s41267-017-0125-5","Article"
"Cross-border venture capital investments: The impact of foreignness on returns","Journal of International Business Studies","","49","5","10.1057/s41267-017-0116-6","Axel BuchnerSusanne EspenlaubArif KhurshedAbdulkadir Mohamed","2018","http://link.springer.com/article/10.1057/s41267-017-0116-6","Article"
"The role of earnout financing on the valuation effects of global diversification","Journal of International Business Studies","","49","5","10.1057/s41267-017-0142-4","Leonidas G BarbopoulosJo DanboltDimitris Alexakis","2018","http://link.springer.com/article/10.1057/s41267-017-0142-4","Article"
"Taxing the multinational enterprise: On the forced redesign of global value chains and other inefficiencies","Journal of International Business Studies","","","","10.1057/s41267-018-0159-3","Nicolai J FossRam MudambiSamuele Murtinu","2018","http://link.springer.com/article/10.1057/s41267-018-0159-3","Article"
"Organizational innovation in the multinational enterprise: Internalization theory and business history","Journal of International Business Studies","","","","10.1057/s41267-018-0156-6","Teresa da Silva LopesMark CassonGeoffrey Jones","2018","http://link.springer.com/article/10.1057/s41267-018-0156-6","Article"
"Uncertainty avoidance and the timing of employee stock option exercise","Journal of International Business Studies","","","","10.1057/s41267-018-0157-5","Francesco BovaMarshall Vance","2018","http://link.springer.com/article/10.1057/s41267-018-0157-5","Article"
"International entrepreneurship research versus international business research: A false dichotomy?","Journal of International Business Studies","","49","4","10.1057/s41267-018-0154-8","Alain VerbekeLuciano Ciravegna","2018","http://link.springer.com/article/10.1057/s41267-018-0154-8","Article"
"Innovation and internationalisation processes of firms with new-to-the-world technologies","Journal of International Business Studies","","49","4","10.1057/s41267-018-0147-7","Alexandra KrizCatherine Welch","2018","http://link.springer.com/article/10.1057/s41267-018-0147-7","Article"
"Stability vs. flexibility: The effect of regulatory institutions on opportunity type","Journal of International Business Studies","","49","4","10.1057/s41267-017-0095-7","Susan L YoungChristopher WelterMichael Conger","2018","http://link.springer.com/article/10.1057/s41267-017-0095-7","Article"
"Becoming a multinational enterprise: Using industry recipes to achieve rapid multinationalization","Journal of International Business Studies","","49","4","10.1057/s41267-017-0137-1","Sinéad MonaghanEsther Tippmann","2018","http://link.springer.com/article/10.1057/s41267-017-0137-1","Article"
"Country familiarity in the initial stage of foreign market selection","Journal of International Business Studies","","49","4","10.1057/s41267-017-0099-3","Daniel R ClarkDan LiDean A Shepherd","2018","http://link.springer.com/article/10.1057/s41267-017-0099-3","Article"
"International entrepreneurship: The pursuit of entrepreneurial opportunities across national borders","Journal of International Business Studies","","49","4","10.1057/s41267-018-0149-5","A. Rebecca ReuberGary A. KnightPeter W. LieschLianxi Zhou","2018","http://link.springer.com/article/10.1057/s41267-018-0149-5","Article"
"Home country supportiveness/unfavorableness and outward foreign direct investment from China","Journal of International Business Studies","","49","3","10.1057/s41267-017-0136-2","Ajai S GaurXufei MaZhujun Ding","2018","http://link.springer.com/article/10.1057/s41267-017-0136-2","Article"
"Host market government corruption and the equity-based foreign entry strategies of multinational enterprises","Journal of International Business Studies","","49","3","10.1057/s41267-017-0115-7","Michael A SartorPaul W Beamish","2018","http://link.springer.com/article/10.1057/s41267-017-0115-7","Article"
"Political connections and voluntary disclosure: Evidence from around the world","Journal of International Business Studies","","49","3","10.1057/s41267-017-0139-z","Mingyi HungYongtae KimSiqi Li","2018","http://link.springer.com/article/10.1057/s41267-017-0139-z","Article"
"The interplay of national distances and regional networks: Private equity investments in emerging markets","Journal of International Business Studies","","49","3","10.1057/s41267-017-0141-5","Santiago MingoFrancisco MoralesLuis Alfonso Dau","2018","http://link.springer.com/article/10.1057/s41267-017-0141-5","Article"
