,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,keywords,abstract
10,Correction to: Dodging bullets: The heterogeneous effect of political violence on greenfield FDI,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-0200-6,Caroline T WitteMartijn J BurgerElena I IanchovichinaEnrico Pennings,2019,http://link.springer.com/article/10.1057/s41267-018-0200-6,Article,[],
11,Psychic distance and performance of MNCs during marketing crises,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-0187-z,Isaac M DinnerTarun KushwahaJan-Benedict E M Steenkamp,2019,http://link.springer.com/article/10.1057/s41267-018-0187-z,Article,"['psychic distance\xa0', 'psychic distance stimuli\xa0', 'marketing crisis\xa0', 'marketing capabilities\xa0', 'international marketing\xa0', 'marketing strategy\xa0']","When multinational corporations face foreign marketing crises, the psychic distance between the home and host country represents a distinct challenge. This paper examines the curvilinear relationship between psychic distance and firm performance during marketing crises, and the moderating role of marketing capabilities. We test our hypotheses using an event study on a panel dataset of 217 firms based in 19 countries facing crises in 41 host countries. The results show that (1) marketing crises are most harmful when the host country is either very close or far away and (2) firms can mitigate this effect with marketing capabilities."
12,Celebrity endorsements in emerging markets: Align endorsers with brands or with consumers?,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-00209-1,Subhadip RoyAbhijit GuhaAbhijit BiswasDhruv Grewal,2019,http://link.springer.com/article/10.1057/s41267-018-00209-1,Article,"['country-of-origin effects\xa0', 'advertising\xa0', 'ethnocentrism\xa0', 'cosmopolitanism\xa0', 'cross-cultural experiments\xa0', 'multiple regression analysis\xa0']","This paper investigates country-of-origin (CO) effects as they relate to celebrity endorsements. Across multiple studies in emerging markets, the authors show that consumers’ evaluations depend on the match between (1) celebrity CO and consumer CO (termed consumer CO fit), and (2) celebrity CO and brand CO (termed brand CO fit). If there is a trade-off between consumer CO fit and brand CO fit, the authors identify contingencies (e.g., ethnocentrism levels) that determine which type of CO fit leads to higher evaluations. Furthermore, the authors develop prescriptions for segmentation in emerging markets and specify when these prescriptions differ from those prescribed by prior international business research.
"
13,"Once bitten, not necessarily shy? Determinants of foreign market re-entry commitment strategies",Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-0167-3,Irina SurduKamel MellahiKeith W Glaister,2019,http://link.springer.com/article/10.1057/s41267-018-0167-3,Article,"['foreign market exit and re-entry\xa0', 'organisational learning\xa0', 'institutional change\xa0', 'commitment increase\xa0', 'commitment decrease\xa0', 'operation modes\xa0']","We investigate foreign market re-entry commitment strategies, namely the changes in the modes of operation (commitment) undertaken by multinational enterprises (MNEs) as they return to foreign markets from which they had previously exited. We combine organisational learning theory with the institutional change literature to examine the antecedents of re-entry commitment strategies. From an analysis of 1020 re-entry events between 1980 and 2016, we find that operation mode prior to exit is a strong predictor of subsequent re-entry mode. Contrary to the predictions of learning theory, we did not find support for the effect of experience accumulated during the initial market endeavour on the re-entry commitment strategies of MNEs. In turn, exit motives significantly impact on the re-entrants’ decision to re-enter via a different mode of operation, by either increasing or decreasing their commitment to the market. We show that re-entrants do not replicate unsuccessful operation mode strategies if they had previously underperformed in the market. When favourable host institutional changes occur during the time-out period, re-entrants tend to increase commitment in the host market irrespective of the degree of prior experience accumulated in the market."
14,Import-based market experience and firms’ exit from export markets,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-0193-1,Eliane Choquette,2019,http://link.springer.com/article/10.1057/s41267-018-0193-1,Article,"['experiential knowledge\xa0', 'learning\xa0', 'sunk costs\xa0', 'export market exit\xa0', 'duration models\xa0', 'experimentation\xa0']","Empirical evidence shows that firms’ internationalization process can be non-linear and often includes de-internationalization events. This study focuses on one type of de-internationalization event – a firm’s decision to exit an export market – and asks how international experience affects its probability of occurrence. In particular, this study complements existing literature by looking at the effect of import-based market experience – considered as a source of market-specific knowledge prior to export market entry – on the probability of a firm exiting an export market. Conceptually, this study contrasts two views on the consequences of increased market knowledge and hypothesizes that, from a learning perspective, import-based market experience ought to reduce export market exit, whereas, from a sunk cost logic, it ought to increase export market exit. Using duration analysis of detailed data on the internationalization history of 1920 Danish firms, I find that the sunk cost logic primarily explains the relationship between import-based market experience and a firm’s probability to exit an export market, and that the effect is strongest for exports to similar destinations. Further analysis shows that this result is partly driven by experimentation-like export behavior by firms with import-based market experience."
15,Understanding the structural characteristics of a firm’s whole buyer–supplier network and its impact on international business performance,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-019-00215-x,Amalesh SharmaV. KumarJun YanSourav Bikash BorahAnirban Adhikary,2019,http://link.springer.com/article/10.1057/s41267-019-00215-x,Article,"['whole buyer–supplier network\xa0', 'international business performance\xa0', 'ambidexterity\xa0', 'network structure\xa0', 'curvilinear relationship\xa0']","Building on the network theory and the concept of organizational ambidexterity, we investigate the impact of structural characteristics of a firm’s whole buyer–supplier network: network density, betweenness centralization, and average clustering coefficient on its international business (IB) performance. We also explore the moderating roles of average path length and PageRank centrality. Using a manually-collected dataset and a robust empirical methodology, we find that, while network density is negatively related, betweenness centralization and average clustering coefficient have an inverted U-shape and a U-shaped relationship with IB performance, respectively. We also find significant moderation effects, and, in the process, we show the economic importance of firms’ whole buyer–supplier network to their IB performance. We contribute to the international business and whole buyer–supplier network literature."
16,Beyond country image favorability: How brand positioning via country personality stereotypes enhances brand evaluations,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-0175-3,Peter MagnussonStanford A. WestjohnNancy J. Sirianni,2019,http://link.springer.com/article/10.1057/s41267-018-0175-3,Article,"['country personality\xa0', 'country of origin\xa0', 'international consumer behavior\xa0', 'cultural authenticity\xa0', 'consumer animosity\xa0']","Across four lab experiments and a field study, we find that brands are evaluated more favorably when the brand is positioned in a manner that is congruent with the brand’s home country personality stereotype than when brand positioning is incongruent. Results demonstrate that cultural authenticity mediates this effect. We also uncover a moderating effect whereby brands are viewed more favorably when brand positioning and country personality stereotypes are "
17,Managing formalization to increase global team effectiveness and meaningfulness of work in multinational organizations,Journal of International Business Studies,,,,10.1057/s41267-019-00226-8,Cristina B GibsonPatrick D DunlopJohn L Cordery,2019,http://link.springer.com/article/10.1057/s41267-019-00226-8,Article,"['qualitative/quantitative comparisons\xa0', 'survey method\xa0', 'teams and teamwork\xa0', 'knowledge acquisition and sharing\xa0', 'integration and responsiveness\xa0']","Global teams may help to integrate across locations, and yet, with formalized rules and procedures, responsiveness to those locations’ effectiveness, and the team members’ experiences of work as meaningful may suffer. We employ a mixed-methods approach to understand how the level and content of formalization can be managed to resolve these tensions in multinationals. In a sample of global teams from a large mining and resources organization operating across 44 countries, interviews, observations, and a quantitative 2-wave survey revealed a great deal of variability between teams in how formalization processes were enacted. Only those formalization processes that promoted knowledge sharing were instrumental in improving team effectiveness. Implementing rules and procedures in the set-up of the teams and projects, rather than during interactions, and utilizing protocols to help establish the global team as a source of identity increased this knowledge sharing. Finally, we found members’ personal need for structure moderated the effect of team formalization on how meaningful individuals found their work within the team. These findings have significant implications for theory and practice in multinational organizations."
18,Correction to: Real options theory in international business,Journal of International Business Studies,,,,10.1057/s41267-019-00227-7,Tailan ChiJing LiLenos G TrigeorgisAndrianos E Tsekrekos,2019,http://link.springer.com/article/10.1057/s41267-019-00227-7,Article,[],
19,Responding to public disclosure of corporate social irresponsibility in host countries: Information control and ownership control,Journal of International Business Studies,,,,10.1057/s41267-019-00224-w,Stephanie Lu WangDan Li,2019,http://link.springer.com/article/10.1057/s41267-019-00224-w,Article,"['corporate social irresponsibility\xa0', 'reputation\xa0', 'foreign subsidiary governance\xa0', 'internalization theory\xa0', 'firm-specific advantage\xa0', 'information control\xa0', 'ownership control\xa0', 'host-country press freedom\xa0', 'host-country regulatory quality\xa0']","We extend the internalization literature by theorizing on how public disclosure of corporate social irresponsibility (CSI) can damage reputation-based firm-specific advantages of multinational companies (MNCs) and how foreign subsidiary governance can subsequently be used as strategic responses. Specifically, we distinguish between two foreign subsidiary governance mechanisms – information control and ownership control – that the prior literature has often assumed operate in parallel, and posit that they function in divergent directions in this context. Furthermore, we explain how two host-country characteristics – press freedom and regulatory quality – amplify the need for MNCs to utilize different governance mechanisms as responses to CSI disclosure."
20,Capital structure decisions along the supply chain: Evidence from import competition,Journal of International Business Studies,,,,10.1057/s41267-019-00225-9,Qianqian HuangRyoonhee Kim,2019,http://link.springer.com/article/10.1057/s41267-019-00225-9,Article,"['globalization\xa0', 'import competition\xa0', 'capital structure\xa0', 'customer–supplier links\xa0']","This paper studies the spillover effect of import competition in downstream industries on upstream capital structure. We find that a large reduction in import tariffs in a customer industry induces suppliers to choose more conservative financial policies. We show that firms lower their leverage more when the customer–supplier relationship is more valuable to the firms and when firms are more vulnerable to the downstream shock. Finally, firms adjust their leverage mainly by issuing more equity."
21,Ringtone: Exploring the rise and fall of Nokia in mobile phones,Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0188-y,Juha-Antti Lamberg,2019,http://link.springer.com/article/10.1057/s41267-018-0188-y,Article,[],
22,"The international penetration of ibusiness firms: Network effects, liabilities of outsidership and country clout",Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0176-2,Liang ChenNoman ShaheerJingtao YiSali Li,2019,http://link.springer.com/article/10.1057/s41267-018-0176-2,Article,"['digital\xa0', 'network effect\xa0', 'platform\xa0', 'outsidership\xa0', 'internationalization\xa0', 'foreign market entry\xa0']","The burgeoning of ibusiness firms in the modern digital economy challenges the received internationalization theory. Given that ibusinesses such as social networking sites create value by providing a digital platform for users to interact with one another, we employ a user-network perspective and externalization logic, suggesting that ibusinesses’ internationalization process depends critically on users’ collective interactions, instead of being solely driven by firms’ market commitments, as noted by the Uppsala model. However, ibusinesses may suffer from liabilities of outsidership due to the boundedness of international network effects. Drawing on social network theory, we demonstrate that such liabilities can be mitigated by first diffusing the ibusiness platform in countries with higher clout. Our analysis using a unique dataset of mobile ibusiness platforms finds empirical support for the hypotheses. We discuss theoretical implications for the network approach of the Uppsala model in the digital era."
23,The interplay between HQ legitimation and subsidiary legitimacy judgments in HQ relocation: A social psychological approach,Journal of International Business Studies,,50.0,2.0,10.1057/s41267-017-0122-8,Julia BalogunKathryn FahyEero Vaara,2019,http://link.springer.com/article/10.1057/s41267-017-0122-8,Article,"['headquarters–subsidiary roles and relations\xa0', 'strategic change\xa0', 'qualitative research\xa0', 'case study\xa0']","This paper marks a departure from the focus on external stakeholders in much research on legitimacy and multinational corporations, adopting a social psychological approach to study how MNCs build internal legitimacy for controversial decisions with their subsidiaries. We explore this through a longitudinal, real-time qualitative case study of a regional office relocation, since office relocations represent rare yet significant strategic decisions. We analyze the interplay between the legitimation strategies of senior managers and subsidiary legitimacy judgments, based in instrumental, relational, and moral considerations, and how the relationship between the two develops over time. From this analysis, we derive inductively a process model that reveals the dynamics of building internal legitimacy with subsidiaries, and how an MNC moves on even in the absence of full legitimacy, when dealing with controversial MNC decisions. The model highlights two important dynamics. The first is a dynamic between legitimation strategies and legitimacy judgments and how this is influenced by local subsidiary contexts. The second is a temporal dynamic in how both the legitimation strategies and legitimacy judgments evolve over time. Our model contributes to research on legitimacy in MNCs, what we know about tensions that characterize MNC–subunit relationships, and research on headquarters relocation."
24,"Unintentional, unavoidable, and beneficial knowledge leakage from the multinational enterprise",Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0164-6,Andrew InkpenDana MinbaevaEric W K Tsang,2019,http://link.springer.com/article/10.1057/s41267-018-0164-6,Article,"['knowledge leakage\xa0', 'knowledge protection\xa0', 'reciprocity\xa0']","Knowledge leakage as an undesirable outcome for MNEs is an accepted view in IB literature. We challenge this view and argue that knowledge leakage is often unintentional, unavoidable, and beneficial for the MNE. In a highly networked and information-rich society, knowledge leakage from MNEs (1) happens naturally due to interfirm relationships, interactions, and socialization, (2) is unavoidable due to employee mobility, and (3) facilitates knowledge inflows due to the reciprocity nature of knowledge exchange and hence is beneficial for MNEs. In addition, the costs of protecting knowledge incurred by an MNE will often outweigh the benefits."
25,Walking the walk or talking the talk? Corporate social responsibility decoupling in emerging market multinationals,Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0171-7,Peter TashmanValentina MaranoTatiana Kostova,2019,http://link.springer.com/article/10.1057/s41267-018-0171-7,Article,"['neo-institutional theory\xa0', 'corporate social responsibility\xa0', 'decoupling\xa0', 'emerging market multinationals\xa0', 'institutional voids\xa0', 'liabilities of origin\xa0']","Research shows that emerging market multinational enterprises (EM-MNEs) increasingly use corporate social responsibility (CSR) reporting as a global legitimation strategy. Less is known about when their CSR reporting is decoupled from their CSR performance. Drawing on neo-institutional theory, we argue that EM-MNEs’ CSR decoupling is shaped by their dual embeddedness in their home countries and the global institutional environment. We then examine how EM-MNEs’ home country institutional voids and degree of internationalization affect their tendency to engage in such decoupling. Our model receives partial support in a study of 93 MNEs from 15 emerging markets between 2005 and 2012."
26,Adapting and sustaining operations in weak institutional environments: A business ecosystem assessment of a Chinese MNE in Central Africa,Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0179-z,Ronaldo ParenteKe RongJosé-Mauricio G. GeleilateEverlyne Misati,2019,http://link.springer.com/article/10.1057/s41267-018-0179-z,Article,"['MNEs\xa0', 'institutions\xa0', 'business ecosystems\xa0', 'coevolution\xa0', 'China\xa0', 'Africa\xa0']","Multinational enterprises (MNEs) sometimes pursue opportunities in largely uncharted, distinctive institutional environments. How do these firms sustain operations in such settings? We explore how MNEs tailor and maintain operations in institutionally weak, precarious, and challenging host-country environments, such as those devastated by conflicts. We draw on the business ecosystem framework and analyze a qualitative longitudinal case study of a Chinese state-owned MNE that entered and developed its operations in the Democratic Republic of Congo (DRC) in Central Africa. Our findings indicate that after entry, the MNE sustained its operations in the DRC by engaging in collective actions and coevolving with key stakeholders within its business ecosystem. These stakeholders included the home and host governments, state-owned enterprises, privately owned enterprises, and local communities. Our qualitative data further suggest that the MNE’s business ecosystem evolved through three stages—exploring, establishing, and embedding—and that within this ecosystem, the key stakeholders also coevolved with the MNE by adopting new roles over time."
27,State capitalism and performance persistence of business group-affiliated firms: A comparative study of China and India,Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0165-5,Helen Wei HuLin CuiPreet S Aulakh,2019,http://link.springer.com/article/10.1057/s41267-018-0165-5,Article,"['business groups\xa0', 'comparative institutionalism\xa0', 'state capitalism\xa0', 'performance persistence\xa0', 'China\xa0', 'India\xa0']","Business groups emerged in developing economies through direct or indirect support from the state in order to overcome a variety of institutional voids and/or to further state objectives of economic growth. However, the efficacy of this organizational form and its associated governance structures have been debated given the dual possibility of business groups to allocate resources among its affiliates for cross-subsidization or winner-picking. We argue that elements of the institutional environment comprising of the state’s approach to organizations and the political context of these interactions vary across countries, thereby influencing business groups’ resource allocation strategies and affecting the persistence of affiliated firms’ superior performance. Contrasting the types of state capitalism in China and India, we develop and test our hypotheses. We find that the effect of business group affiliation on firms’ superior performance persistence is stronger in a state-led system of state capitalism (e.g., China) than in a co-governed system (e.g., India) and that this divergence of the business group effect is weakened as affiliated firms internationalize. Our findings have implications for understanding business groups across institutional contexts and the influence of diversity in the types of state capitalism on organizational strategies."
28,Can a firm find the balance between openness and secrecy? Towards a theory of an optimum level of disclosure,Journal of International Business Studies,,50.0,2.0,10.1057/s41267-018-0204-2,Farok J Contractor,2019,http://link.springer.com/article/10.1057/s41267-018-0204-2,Article,"['disclosure\xa0', 'knowledge leakage\xa0', 'knowledge spillovers\xa0', 'intellectual assets\xa0']","The purpose of this article is not merely to counter assertions about technology leakage/spillovers being innocuous or benevolent, but to go further and illuminate an under-researched question: How can companies seek the optimum balance between "
29,Political party tenure and MNE location choices,Journal of International Business Studies,,,,10.1057/s41267-019-00220-0,Arkangel M CorderoStewart R Miller,2019,http://link.springer.com/article/10.1057/s41267-019-00220-0,Article,"['location strategy\xa0', 'political aspects of MNE activity\xa0', 'Poisson models\xa0']","We develop a theoretical framework to explain how political party tenure affects MNE entries into an economy. We leverage insights from the upper echelon and public administration literatures to argue that there is a curvilinear relationship between political party tenure and MNE entries. Moreover, we argue that political parties with an excessive tenure are less responsive to MNEs and more corrupt. Therefore, we further explain the mediating effects of government bureaucratic responsiveness and government corruption on that relationship. We test our theory using a sample of manufacturing MNEs entering into Mexican cities. The results support our theory."
30,On the future of international joint venture research,Journal of International Business Studies,,,,10.1057/s41267-019-00212-0,Michael NippaJeffrey J Reuer,2019,http://link.springer.com/article/10.1057/s41267-019-00212-0,Article,"['alliance\xa0', 'collaboration\xa0', 'competition\xa0', 'equity partnerships\xa0', 'internationalization\xa0', 'joint venture\xa0', 'international joint venture\xa0', 'international strategic alliance\xa0', 'multinational enterprise\xa0', 'strategic alliance\xa0']","International joint ventures (IJVs) are an important type of international strategic alliance (ISA) and have been studied by scholars for decades, resulting in a plethora of empirical studies, publications, and reviews, yet an inadequate accumulation of knowledge exists, as a closer look reveals. Much more than providing a summary and critical assessment of past contributions, this paper develops an expansive research agenda based upon a deep understanding of past research and comprehensive frameworks that distill this research. We identify a number of research opportunities that would not only advance IJV research but also closely related literatures and disciplines such as ISAs, theories of the multinational firm, international business research, and strategic management."
31,Real options theory in international business,Journal of International Business Studies,,,,10.1057/s41267-019-00222-y,Tailan ChiJing LiLenos G TrigeorgisAndrianos E Tsekrekos,2019,http://link.springer.com/article/10.1057/s41267-019-00222-y,Article,"['real options theory\xa0', 'market entry or exit\xa0', 'entry mode\xa0', 'multinational network\xa0', 'multinational enterprises (MNEs)\xa0', 'firm performance\xa0']","The last quarter century has witnessed substantial growth in applications of real options theory (ROT) to international business (IB) research. In this review, we explicate the core ROT concepts in the IB context and discuss the contributions of ROT-based research to three core IB issues: timing and scale of market entry or exit, entry mode and governance form, and the role of multinational networks. Based on our review, we propose a holistic ROT view of the multinational enterprise that synthesizes the insights of existing studies. Finally, to move the field forward, we highlight key questions and challenges in current ROT-based work, provide a more precise definition of exogenous and endogenous uncertainty, suggest empirical designs to test unique ROT predictions, and explore areas where ROT can be combined with other theoretical perspectives to better understand IB phenomena."
32,The rise of the digital economy: Rethinking the taxation of multinational enterprises,Journal of International Business Studies,,,,10.1057/s41267-019-00223-x,Antony TingSidney J. Gray,2019,http://link.springer.com/article/10.1057/s41267-019-00223-x,Article,"['digital economy\xa0', 'multinational enterprises\xa0', 'taxation\xa0', 'value chain\xa0', 'tax avoidance\xa0', 'tax reform\xa0']","The international tax regime in relation to multinational enterprises (MNEs) is ineffective and a rethink is required. We illustrate that the tax avoidance motive of MNEs can incentivize managers to locate profits in low-tax jurisdictions without affecting the locations of their real operations. We also argue that proposals to tax shareholders and consumers rather than corporate profits face significant theoretical and practical obstacles. Finally, we extend a recently proposed model to tax MNEs using a sales-based allocation of consolidated worldwide profits. This aims to prevent MNEs shifting profits to low-tax jurisdictions and reduces incentives for tax competition between countries."
33,Pro-market institutions and global strategy: The pendulum of pro-market reforms and reversals,Journal of International Business Studies,,,,10.1057/s41267-019-00221-z,Alvaro Cuervo-CazurraAjai GaurDeeksha Singh,2019,http://link.springer.com/article/10.1057/s41267-019-00221-z,Article,"['institutions\xa0', 'institutional change\xa0', 'pro-market reforms\xa0', 'pro-market reversals\xa0', 'international strategy\xa0', 'multinationals\xa0', 'emerging markets\xa0']","We review the literature analyzing the impact of pro-market institutions on firms’ global strategy. We propose that the ideological tension between whether the government or the market should drive economic development results in a pendulum of pro-market reforms and reversals that drive changes in firm strategy and performance. Much progress has been made in the analyses of pro-market reforms and their impact on firms’ international strategies and performance. However, there is a need to further learn about four areas: (1) the concept of pro-market institutions, in particular the variety of institutional dimensions, the measures, and the influence of informal institutions on firm strategies; (2) the drivers of changes in pro-market institutions, especially firms’ influences and the co-evolution of firm strategies and institutional changes; (3) the implications of changes in pro-market reforms for the interactions among integration, diversification, and internationalization strategies, the causality chains connecting institutions and strategies, and the reconfiguration of activities globally; and (4) the non-traditional moderators that alter the impact of pro-market institutional dynamics on firms’ strategies, such as country-level political systems, industry-level competitor reactions, and individual-level managerial capabilities and perceptions."
